ID	Rep	Soils	Genotype	Replicat	Compartment	Type	quant_reading	SVs	seqs	Huit_sols	Huit_geno
169	E64	CAM1	AP	1	Endosphere	DNA	2600	9	729	8_sols	No
170	E65	CAM1	AP	2	Endosphere	DNA	1860	9	195	8_sols	No
171	E66	CAM1	AP	3	Endosphere	DNA	1860	3	60	8_sols	No
319	E66c	CAM1	AP	3	Endosphere	cDNA	154	14	699	8_sols	No
60	R64	CAM1	AP	1	Rhizoplane	DNA	1040	89	9621	8_sols	No
61	R65	CAM1	AP	2	Rhizoplane	DNA	3560	99	11321	8_sols	No
62	R66	CAM1	AP	3	Rhizoplane	DNA	0.1	107	9553	8_sols	No
175	E70	CAM1	BM	1	Endosphere	DNA	1940	9	376	8_sols	No
176	E71	CAM1	BM	2	Endosphere	DNA	2640	4	43	8_sols	No
177	E72	CAM1	BM	3	Endosphere	DNA	2380	5	70	8_sols	No
66	R70	CAM1	BM	1	Rhizoplane	DNA	1940	112	10458	8_sols	No
67	R71	CAM1	BM	2	Rhizoplane	DNA	0.1	121	9104	8_sols	No
68	R72	CAM1	BM	3	Rhizoplane	DNA	750	92	11422	8_sols	No
172	E67	CAM1	RB	1	Endosphere	DNA	2060	5	128	8_sols	No
173	E68	CAM1	RB	2	Endosphere	DNA	2260	8	160	8_sols	No
174	E69	CAM1	RB	3	Endosphere	DNA	2040	5	71	8_sols	No
320	E67c	CAM1	RB	1	Endosphere	cDNA	1540	16	299	8_sols	No
63	R67	CAM1	RB	1	Rhizoplane	DNA	144	134	14308	8_sols	No
64	R68	CAM1	RB	2	Rhizoplane	DNA	0.1	131	13134	8_sols	No
65	R69	CAM1	RB	3	Rhizoplane	DNA	0.1	107	11855	8_sols	No
160	E55	CAM2	AP	1	Endosphere	DNA	3960	12	1264	8_sols	No
161	E56	CAM2	AP	2	Endosphere	DNA	2560	7	286	8_sols	No
162	E57	CAM2	AP	3	Endosphere	DNA	2120	7	246	8_sols	No
317	E56c	CAM2	AP	2	Endosphere	cDNA	154	25	931	8_sols	No
318	E57c	CAM2	AP	3	Endosphere	cDNA	154	9	260	8_sols	No
51	R55	CAM2	AP	1	Rhizoplane	DNA	186	93	6515	8_sols	No
52	R56	CAM2	AP	2	Rhizoplane	DNA	200	105	5679	8_sols	No
53	R57	CAM2	AP	3	Rhizoplane	DNA	1070	72	6831	8_sols	No
166	E61	CAM2	BM	1	Endosphere	DNA	3100	10	561	8_sols	No
167	E62	CAM2	BM	2	Endosphere	DNA	2800	15	560	8_sols	No
