ID	04ad657dd803395528646287365f099b	0605703cd2a2f886c1a95e54e4e42a7a	072052f5b4d38e0947e1e67115644bcf	07f3150777aae967aa38f580b43c32f2	0ba038041a774c78c24faabde6f98ac0	0bb5df88a29b1eade32f231b7b9c9134	0c48bea6832cb7d69ce48ffa27de5837	0ed184e7b387f6418674c2a619a596b9	115a97bdde5b3c89fc3461593a9435ff	1266b9805163c618267b8d076a4093b3	127ec8b12a7fa09daf622235b2d3b5db	12e03afb06d3828e8b6176879551f331	13179e61c57504c2f18e71486e5a3608	141455d45f249047d09c8c87a025057f	165e98cb23466a3993ca4bd449be0ac0	16612bc92f5caab78b7770a966d7aeef	1ae16fc4b8053873d53ab4260c9311e0	1b5bf6056881fe977f32eb0a97e5c496	1cb4f574f90a23bdfeb5e786568aeff2	1d5252c1f3bcbd26591fec076f9e8c0c	1e0b42af7cad206ffc220e01514efd7a	20aca8d67464fb421e6b4bc1445d86c2	215b2d587f582e9c34656ac04b3e2fcc	22bd44b046e9d3e7b8c653d73e16bbff	241693e694466f85d300564665b3c167	244aec5f8210528fd8ad7019076b55ed	24db4768156ef9b49623662dfb008a52	27b75394492f72ef7210bf2bbd596b0d	2875736fb68c45fe3b20310f668cacb9	292467db44afdd723b1827e79eb5eea6	2a4de361df96643a67fd8ae4b717215c	2a869059196711b319cfc116b6537d0a	2f22dde012375ec5d2db63410acf3227	2ff2ccb035211d03a5483dd5dccb8f04	3196b3f6648f1658590a52ae1801f641	322845f3ee6d31177383f4279ae22bcb	341998c120db42433c8b26d0774adfeb	34f2771507d1472006190fa1a2a09382	37a272496c4f3885c8a6d3fbb7896a0e	3802f605d5ae0a25499f532e93d950c9	38535167bf77cc081d6bb490d87c43d6	39993a1e68002b6d299429807abd0a03	39af5facd2addde900f393fc48991a35	3a150d0842425920462b5cba166feb92	3c3a9f3d933a0eb9360b8bd798869010	3c93790ae832d4447c12d9b0023cd6b1	3dba2d08f4043815956ea763405eed53	3f9134f2f928cbaf8a02ad4f86f8976f	3fdf5214e5159cc3f76c167eca766621	400c2e4fa22e15740203a1721c260467	41c947a6d9a65627effb81702161b3bf	43a15e510837869d20081c1bb31916cb	4465a98a221cb1ba72bbcec688604d2f	481c60d2355776ca4c3eea52ab31544c	4961973190418ad3e6f6b748d0c9248f	4a2e382d3282f61d15f6ab86a8566b96	4aacf442cd587963f183e1fdf8491e3a	4e070fb746b3ea7f01efefa7a62fc7a2	4ed4c8fb1c7e735b2c4b82a2f26c000e	4f8911a874341e9ef899de610f172521	518f8db49357bf8442c49bea6c908fd8	523146bb031853e3dba31da305f5ff4a	52ef822b084fa0671f0ba6cd2b71c9ea	5302b5c01a133de6e5343b31593dedba	5427fdd8832445a6287df3879dcfc28a	5690926744bfabc49e1391eac0525dc2	572b850be8032f47998311e585f7959f	5b2404ff953e397345c7740e2cfa5971	5e66db03a6a9426e1d2ce28d020e6141	5efc4382fc052be88d0548b52a07f280	605aff3e8a5b872ab57c4284c671f7f8	605ff2f1fbedabbc9dc5e041415a54d9	616336f719bad3b76634d6eff79eecd9	622df8e3b9fd0ddcba793cb3a62ec0f9	62e32d6920ef86138a88c26017a68bf2	6391061560a05db1e0137c740e5b8e10	6c13c43889021b0201ef08043fa88c4b	6c30abfa49c015dd403b554cc350adc4	6cc72d0b318819097c77f10f0cee2e05	6e711dbecdc9ad5ce7522e880fbdc687	6f429de2c83ae52f7700f1f348f1d88c	70db0545c904905b124cf14a11b3dd38	72f13020a221a45267a8361ce83c50aa	73077fe40ca28c83bd641430b80140f3	7392b6a6e46918b521e7333930fc1ec6	7396ae5fd4a70a38d60b6b7c2a412983	76f26f51390f941fb364d0398a173855	79ac0ad649c36638d09bbf2e0de684da	7e039f5659a35dcc820cd8a5cf7fb8d5	824e9dc6629441924696cf6b404a3237	82bc15ff7f372cfceb45200d7a656dba	834fd10bed605872f1aef2fbc8cd1e06	894cea4a91191b2ffb9050974b408e67	8a0b8ef81aa3217de16b235e063eb45f	8c6db449516694cae50eadf783a79e34	8cadbc1d3d8f9306ad42061911eaa04e	90537d5d3c6a99e3c154468f1465a3b3	91375f958a967ac389b42d81be115316	92e815f2cb7a216dbbe4152d9246b3be	9512f925880b71663db5aa2ad80d9854	95158e9279714140e91ed2dc2967675c	968ba22e12c472f73284a84f0afc35d9	980debfaf2f38696d05db955f5fc4296	9ad47836559ad0a1d42abf2ccbd31e14	9ad59b62859bb658b897dcbcc9bfb2b4	9cb024fab71b1d94fa636524fc3cc60b	9cf5b443837d44b8e5659090f370cac1	9d210d5d47c9053836605e04e4ae6253	9d5c904a1ffaba790ae36b6bd3feb627	9e771d49dffcb33ce8955d55a71048a9	a0906d82df75a388b707432c9c330bd2	a34eb4f794d6bf8c1edd7cb6acaa707f	a4618fea06de53ac8cbbf6efe2a9cd33	a5f69d31ce423dafb06fb1d980699def	a769ae1d4e8ad23b14c5b50ff04712b9	a8319e911625bc539d5c1035b8370452	a96b8aad15dcc0f4a5a15c743b1675ae	abddff6d8ae815748ee545b9a3afff0c	ac44180ec51a53f179be79b1946b0105	ac72d8309c00939db305200bd87856c0	ad6ca4a2377ef26d74f534de7b856e1e	ad88f4f4cd745819ecaa1e52579ff146	ae8463313c31ed1c4fa197c805ceb8db	aed281e3711851eb83e09a68463422da	b3eb4d7da7591e1cb6e0bcbbb77837cd	b89555317bcb7b822c5cd291acaca9e0	ba29f3dd5d894cc259e6bde49cae3178	ba2cc2db8a1855ea15d2939200d2c131	babc444bb387b0bb93a28486642f0010	bac7f39772065f7af6336d5c2beafff3	bb12c82428b6bd6c69d16afc7823e40d	bc1fe5c041272af401d132ce3c45ab02	c16ef4ce0f509cd50ad14de7959544c9	c6f26ad903b44a3bf25098a616632f51	c799e0521751b9ef87ed83ce5cd5b20f	c873ce0ca1bc8126d534983ec5c8cda1	c88b286f1487dca9481eae5eaea499b0	ca547db9faee11e0563f4dad4ae6cb2c	caeb3f911fa8909116a26546aea94ea9	cc4ac01d8e29d2a9e67e39ce08994e3b	cdd9ba279844e0bbe44164c4d4ad9921	ce0308a03aeed5599b34f9b516c40965	ce2978f69131fd867118f94afa83ecc2	d0d88cea8abf6fd328588be0f040337d	d15337856e869be5ed3c423b8a4ae169	d3a22f33cc7e0d935e85ef685e3a46b5	d4f3b316368ae91176fb2a0b9d4a6a99	d56c56f94e2a5a7dce1483f652f61bfe	d7c57f839bd682cc28a06c50224d9685	d9e0e11d7ccb2b4783409c01ccc55eeb	da3b250d28bcd2526612085fa67547be	dc9224ce16490377a222453ae8f7acf7	dc9ccd4a3093bb939831f5610f6d445c	decb0435707ff57b8e00dab27abff7b5	e01f583335a57202782da4c45be21193	e18880b5e468f9e5fd9f6a70c66e8f73	e1ceb643cce61aa2441e8896bc89b67c	e1d2b9191d37f16d76292a3f0f8b2096	e29cf5a2af76f5e7a2e54ea9b4039df0	e3be67174f901b99db980b9fa9b728e9	e56e38e25a8683b24e4e51cd8ebfced5	e5ba8f3c253dc64b003e1049a2cd9de9	e7c2a163c3fe26566bf2760d399477ad	e7d27b92f53ca20e89f12ab60fe77511	e967796dadd1f1f608837f2455fa5e22	e9aabf71229c260c9527010fe4ff2994	eedd9c9a90e1cedda72911e2b134ecf7	f08b136dbcc5b2dd764c15ddd0245b21	f4503842adeac720f5a1ac3d42cd21f0	f5206aea8b99abe700bdf6eb3b8008c5	f5a1e14eb5f13918065a5ba7ebe2dcc9	f6e1374dca2c67316ffcb13b4e2eea51	fa7009cb17c4da803a4fac9e756701d1	fbeef53b38ac0e8c6e704675ea178287	fc96112f246bf78c29d595907e9c9bfc	fdd76ccf0c6d82dc529fc5d28877c33f	fe059d043b9578500ac6af4e9bb1c431	ffd05b78e1c91d5b0ae68a1f1e5f9fb2	ffd66cbdb5a764bf608fd905c3c2ad25
222	27	0	1	5	11	0	8	0	0	0	1	0	0	5	2	0	7	2	0	0	0	0	0	0	3	0	0	5	6	0	0	2	26	0	0	40	0	0	0	0	2	0	0	6	1	0	0	1	2	5	1	17	0	5	46	3	0	6	1	1	1	3	136	0	0	0	1	7	7	10	0	15	0	0	1	0	10	3	2	0	8	0	0	5	0	0	0	0	0	5	0	0	0	9	4	1	0	0	0	1	22	1	0	0	2	0	0	2	0	12	2	0	5	0	47	0	0	0	7	3	0	0	4	0	20	10	12	0	4	13	0	0	11	0	0	8	0	0	2	0	1	0	4	9	9	16	0	5	0	2	7	1	1	2	0	378	0	1	0	0	0	41	0	1	5	0	1	0	0	20	0	0	0	1	14	0	49	0	75
231	7	1	4	9	6	0	4	0	0	0	0	19	0	0	3	0	2	6	0	0	7	0	0	0	1	0	0	5	1	0	0	0	6	7	0	0	0	0	0	0	0	1	0	5	1	0	0	3	0	0	4	725	1	15	3	1	0	0	1	2	0	0	19	1	0	0	6	0	0	1	0	3	0	0	0	6	1	75	22	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	3	5	3	9	0	0	2	0	0	2	0	4	0	1	2	1	14	0	0	0	7	20	0	0	4	2	0	5	5	3	7	3	5	5	3	0	0	0	0	34	4	0	4	0	0	5	0	5	0	163	0	11	11	1	3	1	7	70	2	1	0	0	0	13	0	0	8	0	13	0	0	7	0	0	1	0	2	2	10	0	5
232	15	0	5	16	0	0	7	0	0	0	1	25	0	0	0	0	1	4	0	1	4	1	0	0	1	0	0	1	2	0	0	0	6	1	1	0	0	0	0	0	0	1	0	2	0	0	0	6	3	0	4	676	5	28	0	2	0	0	4	7	0	3	13	4	1	0	5	0	0	1	0	3	0	0	0	3	0	79	17	2	3	0	0	0	0	2	0	0	0	1	0	0	0	5	0	0	0	0	0	6	2	9	9	0	0	0	0	1	0	0	3	0	0	0	20	0	0	0	2	20	0	0	3	0	0	0	5	7	5	13	0	0	3	0	7	0	0	75	2	0	2	0	2	0	0	2	1	19	0	3	36	4	0	3	12	50	1	4	0	0	0	9	0	0	2	0	6	0	0	9	0	0	3	0	0	4	8	0	5
233	9	0	3	9	5	0	7	0	0	0	1	36	0	0	2	0	3	11	0	2	1	0	0	0	1	1	0	2	3	0	0	0	16	6	0	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	7	479	2	14	1	2	0	3	3	2	3	5	56	3	0	2	1	0	0	21	0	7	0	0	0	4	4	105	15	2	2	0	0	0	0	3	0	0	0	1	0	0	0	13	9	1	1	0	3	0	9	4	2	0	5	0	0	0	0	6	4	0	2	0	44	0	1	0	3	15	0	0	3	0	0	2	2	1	7	14	0	0	7	0	0	0	0	17	15	2	1	0	0	3	0	4	3	63	0	23	24	3	6	0	1	202	0	1	0	0	0	10	0	0	6	0	8	0	0	5	0	2	0	0	3	1	21	0	17
234	6	0	3	15	0	0	6	0	0	0	1	16	0	0	2	0	1	6	0	0	7	1	0	1	1	0	0	1	6	0	0	0	0	6	0	3	0	0	0	0	0	1	0	3	2	0	0	6	0	2	6	745	4	23	0	1	0	0	5	6	1	3	20	8	3	2	5	0	0	1	0	3	0	0	0	2	5	135	39	2	3	0	0	0	0	3	0	0	0	0	0	0	0	2	2	2	0	0	0	5	3	4	0	0	3	0	0	2	0	1	1	0	5	1	14	0	0	0	0	13	0	0	0	6	0	3	2	6	6	6	0	0	3	0	0	0	0	63	5	0	1	0	0	1	0	2	3	18	0	4	29	4	1	1	9	43	1	3	0	0	0	18	0	0	6	0	13	0	0	9	0	0	5	0	4	1	14	0	12
235	10	0	2	20	0	0	7	0	0	0	0	10	0	0	5	0	3	3	0	0	10	0	0	0	2	0	0	5	8	0	0	0	13	7	1	0	0	0	0	0	0	0	0	3	2	0	0	7	0	0	12	528	3	20	0	1	0	0	4	4	0	2	25	7	3	0	2	9	4	3	0	0	0	0	0	4	4	131	15	3	6	0	0	0	0	2	0	0	0	0	0	0	0	6	4	2	0	0	1	5	8	6	41	0	2	0	0	1	0	5	0	0	0	0	14	0	0	0	3	13	0	0	4	0	0	6	4	6	9	13	4	0	9	0	0	0	0	46	20	0	1	0	0	3	0	5	3	37	0	8	43	3	2	1	13	114	1	2	0	0	0	19	0	0	3	0	12	0	0	5	0	0	4	0	12	3	8	0	15
236	5	1	5	15	14	0	10	0	2	1	0	36	0	0	8	0	5	5	0	1	6	0	0	2	1	0	0	4	6	0	0	3	6	5	0	0	0	0	8	0	1	0	0	4	1	5	2	1	0	0	3	221	7	21	4	0	0	0	10	1	0	1	89	2	0	0	7	4	0	7	0	7	0	0	1	3	3	119	12	1	3	0	0	4	0	0	0	0	0	5	0	0	0	3	6	3	10	0	4	1	4	5	0	0	2	0	0	6	0	3	2	3	1	0	72	0	0	0	2	11	8	0	2	0	0	4	0	1	5	2	5	12	5	0	3	0	0	12	10	0	3	0	0	13	3	1	2	36	0	6	22	5	1	1	2	186	1	1	0	0	0	12	0	0	5	0	10	0	0	13	0	1	1	1	1	4	15	0	18
237	3	3	1	6	3	0	5	2	0	0	2	26	0	0	4	0	0	8	0	0	5	1	0	0	0	0	0	2	0	0	0	0	2	7	0	0	0	0	0	0	1	0	0	10	0	0	0	3	0	0	2	764	7	12	1	0	0	0	8	3	0	2	28	5	3	2	3	0	0	3	0	2	0	0	0	4	2	61	14	0	2	0	0	0	0	1	0	0	0	1	0	0	0	5	0	3	0	0	10	4	5	7	1	0	0	0	0	1	0	6	3	0	7	4	6	0	0	0	3	15	0	0	2	3	0	3	5	4	3	8	4	0	4	0	1	0	0	30	3	0	2	0	1	3	0	14	2	104	0	14	9	1	3	1	7	87	1	7	0	0	0	11	0	0	4	0	23	0	0	13	0	2	2	0	2	5	7	0	12
238	9	0	0	14	11	0	5	9	68	13	1	38	0	0	0	0	2	4	6	0	9	0	0	0	5	0	0	4	0	0	0	0	0	7	2	0	0	0	43	0	0	0	0	10	0	0	0	2	0	0	0	166	0	40	0	0	0	0	5	6	0	0	26	5	2	0	14	0	0	10	0	0	0	2	0	0	0	78	12	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	191	0	7	0	6	0	17	0	6	0	0	5	3	4	0	3	0	0	26	0	0	0	1	10	6	0	0	0	0	0	3	0	2	5	16	0	0	0	29	0	0	20	7	21	0	0	1	11	0	7	4	35	0	22	41	0	0	0	6	83	0	0	0	2	0	7	0	0	7	0	9	5	0	7	0	0	0	0	0	4	7	0	16
239	9	2	0	18	0	0	20	9	71	21	0	20	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	5	2	0	0	0	48	0	4	1	0	15	0	0	0	3	0	3	10	137	0	17	0	0	0	1	0	2	0	0	30	4	0	0	10	0	7	4	0	0	0	0	0	0	0	19	24	8	8	0	0	19	0	8	0	0	0	0	0	0	0	0	0	0	96	0	0	5	6	1	25	0	0	0	0	1	0	2	0	0	0	0	97	0	0	6	0	7	0	0	6	5	0	0	1	5	3	3	0	19	0	0	28	0	0	20	5	37	3	0	0	0	0	2	1	8	0	4	19	3	0	0	9	80	0	0	0	0	0	4	0	1	3	0	15	0	0	13	0	0	0	0	0	3	0	0	10
