Rep	ID	Compartment	Type	Continent	Soils	Practices	Genotype	Replicat	seq	SVs	Rarefied_Richness	Huit_sols	Huit_geno	Rhizo	NMDS1	NMDS2	S	Shannon	J	simp	S_18S	Shannon_18S	J_18S	simp_18S	PD_18S	S_16S	Shannon_16S	J_16S	simp_16S	PD_16S	PD	Core_rel_abund	rarity_low_abund	core_count
R1	222	Rhizosphere	DNA	Europe	FR1	Conventional	AP	1	12748	387	281	8_sols	No	Yes	-1.67614814	-0.844620032	403	4.738459763	0.789883292	0.95921887	122	3.196372132	0.665353482	0.864296461	5.17317	281	4.987873038	0.884632722	0.985261366	14.09161	19.26478	0.609324009	0.141258741	90
R5	226	Rhizosphere	DNA	Europe	FR1	Conventional	RB	2	18487	593	375	8_sols	No	Yes	-1.908451894	-0.780239535	487	4.943305092	0.798819345	0.961824811	112	3.106862034	0.65844289	0.86699225	6.05553	375	5.518591222	0.931105129	0.993527121	17.1784	23.23393	0.577622378	0.193006993	98
R6	227	Rhizosphere	DNA	Europe	FR1	Conventional	RB	3	11704	420	312	8_sols	No	Yes	-1.693109267	-0.727682722	444	4.918134318	0.806803783	0.967044952	132	3.210732537	0.657559448	0.88652255	5.17979	312	5.350562375	0.931666273	0.992766741	16.1126	21.29239	0.615384615	0.168764569	111
R7	228	Rhizosphere	DNA	Europe	FR1	Conventional	BM	1	1817	74	72	8_sols	No	Yes	-1.297494131	2.228102612	96	3.668521351	0.803733895	0.941957499	24	2.389224418	0.75178853	0.824727252	1.24637	72	3.62700622	0.848091976	0.957121518	6.606745	7.853115	0.447086247	0.007925408	25
R8	229	Rhizosphere	DNA	Europe	FR1	Conventional	BM	2	12978	458	320	8_sols	No	Yes	-1.469048836	-0.682787025	420	5.048029867	0.835731291	0.976837553	100	3.455339712	0.750317485	0.922668485	5.75653	320	5.353463814	0.928080081	0.991942674	15.28228	21.03881	0.580885781	0.151981352	108
R9	230	Rhizosphere	DNA	Europe	FR1	Conventional	BM	3	14850	531	361	8_sols	No	Yes	-1.64420072	-0.714336029	482	5.251817577	0.850091467	0.983270032	121	3.690154806	0.769457042	0.945001649	5.84978	361	5.522901955	0.937853016	0.993129562	17.46457	23.31435	0.521212121	0.193939394	108
R10	231	Rhizosphere	DNA	Europe	FR2	Organic	AP	1	13513	373	267	8_sols	8_geno	Yes	-1.943441841	-0.4918508	337	3.906295637	0.671175254	0.87565662	70	1.925285986	0.453168917	0.579298638	4.57785	267	4.641627494	0.8307537	0.963561589	14.17438	18.75223	0.695571096	0.133799534	87
R11	232	Rhizosphere	DNA	Europe	FR2	Organic	AP	2	14874	424	283	8_sols	8_geno	Yes	-2.044255449	-0.494468629	361	4.176168564	0.709162016	0.894948843	78	2.08776393	0.47920667	0.630953234	5.46971	283	5.030394474	0.891053368	0.985905952	14.30334	19.77305	0.628904429	0.133799534	82
R12	233	Rhizosphere	DNA	Europe	FR2	Organic	AP	3	17733	467	287	8_sols	8_geno	Yes	-1.882929805	-0.58625317	376	4.338539043	0.731676165	0.934708679	89	2.509945853	0.55917781	0.780434113	5.48341	287	4.905134798	0.866710878	0.979224644	14.49718	19.98059	0.688111888	0.142657343	92
R13	234	Rhizosphere	DNA	Europe	FR2	Organic	RB	1	14234	417	292	8_sols	8_geno	Yes	-1.950867545	-0.535967379	364	3.986361498	0.675980581	0.872045685	72	1.830251931	0.427962315	0.556327743	4.88267	292	4.915541691	0.865907147	0.975683281	15.82268	20.70535	0.69044289	0.138927739	91
R14	235	Rhizosphere	DNA	Europe	FR2	Organic	RB	2	9225	314	249	8_sols	8_geno	Yes	-1.920181728	-0.518685039	339	4.343688036	0.745569508	0.929305535	90	2.595363593	0.57677186	0.763128785	5.53349	249	4.821420455	0.873848956	0.97644559	14.1837	19.71719	0.68018648	0.11981352	87
R15	236	Rhizosphere	DNA	Europe	FR2	Organic	RB	3	11771	400	273	8_sols	8_geno	Yes	-1.646229349	-0.464562295	400	4.820815493	0.804613873	0.972073397	127	3.411240126	0.704192482	0.916100648	6.35909	273	4.923528061	0.877716876	0.978840594	14.97466	21.33375	0.591608392	0.144055944	106
R16	237	Rhizosphere	DNA	Europe	FR2	Organic	BM	1	14798	358	243	8_sols	8_geno	Yes	-1.92776702	-0.412813901	323	3.852830215	0.666850478	0.865908792	80	1.715234069	0.391424839	0.531901878	4.87833	243	4.761514705	0.866823492	0.978373559	12.57262	17.45095	0.704428904	0.120745921	93
R17	238	Rhizosphere	DNA	Europe	FR2	Organic	BM	2	3910	167	151	8_sols	8_geno	Yes	-1.418128384	0.232450402	226	4.616254134	0.851623342	0.976955787	75	3.42746093	0.793855325	0.933459515	4.25214	151	4.474544798	0.891826835	0.979242013	10.74035	14.99249	0.605594406	0.039160839	74
R18	239	Rhizosphere	DNA	Europe	FR2	Organic	BM	3	4410	214	195	8_sols	8_geno	Yes	-1.751839189	0.244269058	267	4.809962175	0.860882067	0.983551274	72	3.581050521	0.837346293	0.953421267	4.37009	195	4.712666879	0.893735497	0.984059039	12.67955	17.04964	0.522144522	0.066666667	71
R19	240	Rhizosphere	DNA	Europe	IT1	Conventional	AP	1	14444	344	236	8_sols	No	Yes	-1.492129812	-0.466158755	302	4.240751107	0.742632923	0.953075021	66	2.656557719	0.63407557	0.858569484	3.74285	236	4.536778517	0.830329095	0.965003223	12.66042	16.40327	0.471328671	0.11048951	77
