OTUID	Betweenness	Closeness	Degree	ExpectedInfluence	Hub
04ad657dd803395528646287365f099b	195.12137	0.001805054	9	9	Not_Hub
0605703cd2a2f886c1a95e54e4e42a7a	229.855788	0.001453488	6	6	Not_Hub
072052f5b4d38e0947e1e67115644bcf	13.310041	0.001508296	3	3	Not_Hub
07f3150777aae967aa38f580b43c32f2	555.516051	0.001736111	10	10	Not_Hub
0ba038041a774c78c24faabde6f98ac0	712.591926	0.001805054	7	7	Not_Hub
0bb5df88a29b1eade32f231b7b9c9134	211.888062	0.001536098	7	7	Not_Hub
0c48bea6832cb7d69ce48ffa27de5837	258.131294	0.0013947	3	3	Not_Hub
0ed184e7b387f6418674c2a619a596b9	84.930261	0.001577287	4	4	Not_Hub
115a97bdde5b3c89fc3461593a9435ff	176	0.001112347	3	3	Not_Hub
1266b9805163c618267b8d076a4093b3	0	0.000930233	1	1	Not_Hub
127ec8b12a7fa09daf622235b2d3b5db	0	0.001140251	1	1	Not_Hub
12e03afb06d3828e8b6176879551f331	451.311215	0.001792115	10	10	Not_Hub
13179e61c57504c2f18e71486e5a3608	671.455329	0.001727116	8	8	Not_Hub
141455d45f249047d09c8c87a025057f	230.398572	0.001582279	6	6	Not_Hub
165e98cb23466a3993ca4bd449be0ac0	278.67493	0.001712329	8	8	Not_Hub
16612bc92f5caab78b7770a966d7aeef	260.02021	0.001709402	7	7	Not_Hub
1ae16fc4b8053873d53ab4260c9311e0	39.141072	0.00154321	4	4	Not_Hub
1b5bf6056881fe977f32eb0a97e5c496	55.962804	0.001592357	4	4	Not_Hub
1cb4f574f90a23bdfeb5e786568aeff2	144.864562	0.001587302	4	4	Not_Hub
1d5252c1f3bcbd26591fec076f9e8c0c	485.504007	0.001508296	6	6	Not_Hub
1e0b42af7cad206ffc220e01514efd7a	298.156751	0.001564945	9	9	Not_Hub
20aca8d67464fb421e6b4bc1445d86c2	141.928515	0.001312336	2	2	Not_Hub
215b2d587f582e9c34656ac04b3e2fcc	10.811649	0.001461988	3	3	Not_Hub
22bd44b046e9d3e7b8c653d73e16bbff	45.015281	0.001385042	2	2	Not_Hub
241693e694466f85d300564665b3c167	203.422926	0.001675042	6	6	Not_Hub
244aec5f8210528fd8ad7019076b55ed	2.92409	0.00140056	2	2	Not_Hub
24db4768156ef9b49623662dfb008a52	905.932586	0.001919386	8	8	Hub
27b75394492f72ef7210bf2bbd596b0d	276.082664	0.001390821	5	5	Not_Hub
2875736fb68c45fe3b20310f668cacb9	23.251734	0.0013947	3	3	Not_Hub
292467db44afdd723b1827e79eb5eea6	252.734575	0.001453488	2	2	Not_Hub
2a4de361df96643a67fd8ae4b717215c	182.582967	0.001652893	5	5	Not_Hub
2a869059196711b319cfc116b6537d0a	12.054882	0.001416431	3	3	Not_Hub
2f22dde012375ec5d2db63410acf3227	220.640667	0.001703578	8	8	Not_Hub
2ff2ccb035211d03a5483dd5dccb8f04	154.104184	0.00170068	6	6	Not_Hub
3196b3f6648f1658590a52ae1801f641	82.747981	0.001515152	4	4	Not_Hub
322845f3ee6d31177383f4279ae22bcb	164.300061	0.001383126	4	4	Not_Hub
341998c120db42433c8b26d0774adfeb	12.552181	0.001340483	2	2	Not_Hub
34f2771507d1472006190fa1a2a09382	207.733486	0.001680672	4	4	Not_Hub
37a272496c4f3885c8a6d3fbb7896a0e	502.443429	0.001345895	4	4	Not_Hub
3802f605d5ae0a25499f532e93d950c9	186.704331	0.0016	9	9	Not_Hub
38535167bf77cc081d6bb490d87c43d6	0	0.001157407	1	1	Not_Hub
39993a1e68002b6d299429807abd0a03	197.775375	0.001512859	6	6	Not_Hub
39af5facd2addde900f393fc48991a35	193.773588	0.001757469	5	5	Not_Hub
3a150d0842425920462b5cba166feb92	58.971643	0.001385042	3	3	Not_Hub
3c3a9f3d933a0eb9360b8bd798869010	143.700129	0.001517451	5	5	Not_Hub
3c93790ae832d4447c12d9b0023cd6b1	492.625264	0.00148368	7	7	Not_Hub
3dba2d08f4043815956ea763405eed53	202.868252	0.001589825	8	8	Not_Hub
3f9134f2f928cbaf8a02ad4f86f8976f	85.558311	0.001506024	6	6	Not_Hub
3fdf5214e5159cc3f76c167eca766621	156.929942	0.00148368	4	4	Not_Hub
400c2e4fa22e15740203a1721c260467	283.857135	0.001592357	7	7	Not_Hub
41c947a6d9a65627effb81702161b3bf	357.728859	0.001727116	8	8	Not_Hub
