OTUID	Supergroup	Phylum	Class	Order	Family	Genus	Species	OTUID2	Hub	Cluster
04ad657dd803395528646287365f099b	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	uncultured	unassigned	04ad657dd803395528646287365f099b	Not Hub	Cluster 1
0605703cd2a2f886c1a95e54e4e42a7a	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured	uncultured bacterium	0605703cd2a2f886c1a95e54e4e42a7a	Not Hub	Cluster 1
072052f5b4d38e0947e1e67115644bcf	Fungi	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Nectria	Nectria_lugdunensis	072052f5b4d38e0947e1e67115644bcf	Not Hub	Cluster 1
07f3150777aae967aa38f580b43c32f2	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Paucibacter	unassigned	07f3150777aae967aa38f580b43c32f2	Not Hub	Cluster 1
0ba038041a774c78c24faabde6f98ac0	Fungi	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Chaetomium	Chaetomium_sp.	0ba038041a774c78c24faabde6f98ac0	Not Hub	Cluster 1
0bb5df88a29b1eade32f231b7b9c9134	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Sandonidae	Sandonidae_Clade-N/F-A	Sandonidae_Clade_N/F-A_sp.	0bb5df88a29b1eade32f231b7b9c9134	Not Hub	Cluster 2
0c48bea6832cb7d69ce48ffa27de5837	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Allapsidae	Group-Te	Group_Te_sp.	0c48bea6832cb7d69ce48ffa27de5837	Not Hub	Cluster 2
0ed184e7b387f6418674c2a619a596b9	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Pantoea	Pantoea agglomerans	0ed184e7b387f6418674c2a619a596b9	Not Hub	Cluster 2
115a97bdde5b3c89fc3461593a9435ff	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	Ambiguous_taxa	115a97bdde5b3c89fc3461593a9435ff	Not Hub	Cluster 1
1266b9805163c618267b8d076a4093b3	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Ambiguous_taxa	1266b9805163c618267b8d076a4093b3	Not Hub	Cluster 1
127ec8b12a7fa09daf622235b2d3b5db	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	unassigned	unassigned	127ec8b12a7fa09daf622235b2d3b5db	Not Hub	Cluster 1
12e03afb06d3828e8b6176879551f331	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Acidovorax	unassigned	12e03afb06d3828e8b6176879551f331	Not Hub	Cluster 1
13179e61c57504c2f18e71486e5a3608	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Ramlibacter	unassigned	13179e61c57504c2f18e71486e5a3608	Not Hub	Cluster 2
141455d45f249047d09c8c87a025057f	Fungi	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Lecythophora	Lecythophora_sp.	141455d45f249047d09c8c87a025057f	Not Hub	Cluster 2
165e98cb23466a3993ca4bd449be0ac0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Agromyces	Ambiguous_taxa	165e98cb23466a3993ca4bd449be0ac0	Not Hub	Cluster 1
16612bc92f5caab78b7770a966d7aeef	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	unassigned	16612bc92f5caab78b7770a966d7aeef	Not Hub	Cluster 2
1ae16fc4b8053873d53ab4260c9311e0	Amoebozoa	Lobosa	Tubulinea	Nolandida	Nolandellidae	Nolandellidae_X	Nolandellidae_X_sp.	1ae16fc4b8053873d53ab4260c9311e0	Not Hub	Cluster 1
1b5bf6056881fe977f32eb0a97e5c496	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Acidovorax	Ambiguous_taxa	1b5bf6056881fe977f32eb0a97e5c496	Not Hub	Cluster 1
1cb4f574f90a23bdfeb5e786568aeff2	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	unassigned	1cb4f574f90a23bdfeb5e786568aeff2	Not Hub	Cluster 2
1d5252c1f3bcbd26591fec076f9e8c0c	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	1d5252c1f3bcbd26591fec076f9e8c0c	Not Hub	Cluster 2
1e0b42af7cad206ffc220e01514efd7a	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41	metagenome	metagenome	1e0b42af7cad206ffc220e01514efd7a	Not Hub	Cluster 1
20aca8d67464fb421e6b4bc1445d86c2	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Paucibacter	unassigned	20aca8d67464fb421e6b4bc1445d86c2	Not Hub	Cluster 1
215b2d587f582e9c34656ac04b3e2fcc	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter	uncultured bacterium	215b2d587f582e9c34656ac04b3e2fcc	Not Hub	Cluster 2
22bd44b046e9d3e7b8c653d73e16bbff	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Ambiguous_taxa	22bd44b046e9d3e7b8c653d73e16bbff	Not Hub	Cluster 2
241693e694466f85d300564665b3c167	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured	uncultured bacterium	241693e694466f85d300564665b3c167	Not Hub	Cluster 1
244aec5f8210528fd8ad7019076b55ed	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	Ambiguous_taxa	244aec5f8210528fd8ad7019076b55ed	Not Hub	Cluster 2
