SV	Group2	Group	Phylum	Family	Genus	ID	Prevalence	RelAbund	Hub	Endo
04ad657dd803395528646287365f099b	Bacteria	Bacteria	Bacteroidia	Microscillaceae		Uncultured Microscillaceae	43%	0.19%		
0605703cd2a2f886c1a95e54e4e42a7a	Bacteria	Bacteria	Gemmatimonadetes	Gemmatimonadaceae		Uncultured Gemmatimonadaceae	27%	0.03%		
072052f5b4d38e0947e1e67115644bcf	Fungi	Opisthokonta	Ascomycota	Sordariomycetes	Nectria	Nectria lugdunensis	30%	0.11%		Endo
07f3150777aae967aa38f580b43c32f2	Bacteria	Bacteria	Gammaproteobacteria	Burkholderiaceae	Paucibacter	Paucibacter	38%	0.33%		Endo
0ba038041a774c78c24faabde6f98ac0	Fungi	Opisthokonta	Ascomycota	Sordariomycetes	Chaetomium	Chaetomium	60%	0.59%		Endo
0bb5df88a29b1eade32f231b7b9c9134	Rhizaria	Rhizaria	Filosa-Sarcomonadea	Sandonidae	Sandonidae_Clade-N/F-A	Glissomonad	32%	0.05%		
0c48bea6832cb7d69ce48ffa27de5837	Rhizaria	Rhizaria	Filosa-Sarcomonadea	Allapsidae	Group-Te	Allapsidae (Group-Te)	77%	0.91%		
0ed184e7b387f6418674c2a619a596b9	Bacteria	Bacteria	Gammaproteobacteria	Enterobacteriaceae	Pantoea	Pantoea agglomerans	67%	0.39%		Endo
115a97bdde5b3c89fc3461593a9435ff	Bacteria	Bacteria	Gammaproteobacteria	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	Paraburkholderia kururiensis	30%	1.60%		Endo
1266b9805163c618267b8d076a4093b3	Bacteria	Bacteria	Gammaproteobacteria	Pseudomonadaceae	Pseudomonas	Pseudomonas	27%	0.32%		Endo
127ec8b12a7fa09daf622235b2d3b5db	Bacteria	Bacteria	Gammaproteobacteria	Burkholderiaceae		Uncultured Burkholderiaceae	37%	0.03%		
12e03afb06d3828e8b6176879551f331	Bacteria	Bacteria	Gammaproteobacteria	Burkholderiaceae	Acidovorax	Acidovorax	42%	0.79%		Endo
13179e61c57504c2f18e71486e5a3608	Bacteria	Bacteria	Gammaproteobacteria	Burkholderiaceae	Ramlibacter	Ramlibacter	27%	0.04%		
141455d45f249047d09c8c87a025057f	Fungi	Opisthokonta	Ascomycota	Sordariomycetes	Lecythophora	Lecythophora	35%	0.17%		Endo
165e98cb23466a3993ca4bd449be0ac0	Bacteria	Bacteria	Actinobacteria	Microbacteriaceae	Agromyces	Agromyces	37%	0.08%		
16612bc92f5caab78b7770a966d7aeef	Bacteria	Bacteria	Alphaproteobacteria	Sphingomonadaceae	Sphingomonas	Sphingomonas	42%	0.07%		
1ae16fc4b8053873d53ab4260c9311e0	Amoebozoa	Amoebozoa	Tubulinea	Nolandellidae		Uncultured Nolandellidae	28%	0.05%		
1b5bf6056881fe977f32eb0a97e5c496	Bacteria	Bacteria	Gammaproteobacteria	Burkholderiaceae	Acidovorax	Acidovorax	33%	0.10%		Endo
1cb4f574f90a23bdfeb5e786568aeff2	Bacteria	Bacteria	Actinobacteria	Acidothermaceae	Acidothermus	Acidothermus	33%	0.04%		
1d5252c1f3bcbd26591fec076f9e8c0c	Unassigned	unassigned	unassigned	unassigned		Unassigned	30%	0.06%		Endo
1e0b42af7cad206ffc220e01514efd7a	Bacteria	Bacteria	Deltaproteobacteria	BIrii41		Uncultured Deltaproteobacteria (BIrii41)	37%	0.17%		Endo
20aca8d67464fb421e6b4bc1445d86c2	Bacteria	Bacteria	Gammaproteobacteria	Burkholderiaceae	Paucibacter	Paucibacter	37%	0.10%		Endo
215b2d587f582e9c34656ac04b3e2fcc	Bacteria	Bacteria	Bacteroidia	Chitinophagaceae	Flavisolibacter	Flavisolibacter	27%	0.03%		
22bd44b046e9d3e7b8c653d73e16bbff	Bacteria	Bacteria	Alphaproteobacteria	Caulobacteraceae	Caulobacter	Caulobacter	33%	0.07%		Endo
241693e694466f85d300564665b3c167	Bacteria	Bacteria	Gemmatimonadetes	Gemmatimonadaceae		Uncultured Gemmatimonadaceae	32%	0.04%		
244aec5f8210528fd8ad7019076b55ed	Bacteria	Bacteria	Verrucomicrobiae	Chthoniobacteraceae	Candidatus Udaeobacter	Udaeobacter	30%	0.02%		
24db4768156ef9b49623662dfb008a52	Bacteria	Bacteria	Deltaproteobacteria	Archangiaceae	Anaeromyxobacter	Anaeromyxobacter	38%	0.05%	Hub	
27b75394492f72ef7210bf2bbd596b0d	Bacteria	Bacteria	Bacteroidia	Chitinophagaceae	Flavitalea	Flavitalea	50%	0.08%		
2875736fb68c45fe3b20310f668cacb9	Fungi	Opisthokonta	Ascomycota	Sordariomycetes		Uncultured Sordariomycetes	27%	0.08%		Endo
292467db44afdd723b1827e79eb5eea6	Bacteria	Bacteria	Gammaproteobacteria	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	Paraburkholderia	30%	0.62%		Endo
2a4de361df96643a67fd8ae4b717215c	Bacteria	Bacteria	Gammaproteobacteria	Burkholderiaceae	Ralstonia	Ralstonia	38%	0.12%		Endo
2a869059196711b319cfc116b6537d0a	Fungi	Opisthokonta	Ascomycota	Sordariomycetes		Uncultured Chaetomiaceae	30%	0.03%		Endo
2f22dde012375ec5d2db63410acf3227	Stramenopiles	Stramenopiles	Oomycota	Peronosporales	Pythium	Pythium	32%	0.19%		
2ff2ccb035211d03a5483dd5dccb8f04	Bacteria	Bacteria	Bacteroidia	Chitinophagaceae	Flavisolibacter	Flavisolibacter	35%	0.09%		
3196b3f6648f1658590a52ae1801f641	Stramenopiles	Stramenopiles	Oomycota	Peronosporales	Pythium	Pythium	40%	0.10%		Endo
322845f3ee6d31177383f4279ae22bcb	Bacteria	Bacteria	Bacilli	Bacillaceae	Bacillus	Bacillus	40%	0.08%		
341998c120db42433c8b26d0774adfeb	Rhizaria	Rhizaria	Filosa-Granofilosea	Limnofilidae		Uncultured Limnofilidae	27%	0.03%		
