Rep	ID	Compartment	Type	Sol	Genotype	Replicat	seq	SVs	Rarefied_Richness	Huit_sols	Huit_geno	Rhizo	Year	NMDS1	NMDS2	S	Shannon	J	simp	S_16S	Shannon_16S	J_16S	simp_16S	PD_16S	S_18S	Shannon_18S	J_18S	simp_18S	PD_18S	PD
R10	231	Rhizosphere	DNA	FR3	AP	1	13513	373	267	8_sols	8_geno	Yes	1998	-0.150553122	0.04613403	337	3.906295637	0.671175254	0.87565662	267	4.641627494	0.8307537	0.963561589	12.91148	70	1.92528599	0.45316892	0.57929864	4.15565	17.06713
R11	232	Rhizosphere	DNA	FR3	AP	2	14874	424	283	8_sols	8_geno	Yes	1998	-0.114380639	0.137685773	361	4.176168564	0.709162016	0.894948843	283	5.030394474	0.891053368	0.985905952	12.82485	78	2.08776393	0.47920667	0.63095323	4.869	17.69385
R12	233	Rhizosphere	DNA	FR3	AP	3	17733	467	287	8_sols	8_geno	Yes	1998	-0.200907731	-0.103249694	376	4.338539043	0.731676165	0.934708679	287	4.905134798	0.866710878	0.979224644	13.08526	89	2.50994585	0.55917781	0.78043411	4.85569	17.94095
R16	237	Rhizosphere	DNA	FR3	BM	1	14798	358	243	8_sols	8_geno	Yes	2007	-0.148768976	0.007990981	323	3.852830215	0.666850478	0.865908792	243	4.761514705	0.866823492	0.978373559	11.60855	80	1.71523407	0.39142484	0.53190188	4.52766	16.13621
R17	238	Rhizosphere	DNA	FR3	BM	2	3910	167	151	8_sols	8_geno	Yes	2007	0.641506324	-0.560053243	226	4.616254134	0.851623342	0.976955787	151	4.474544798	0.891826835	0.979242013	10.00786	75	3.42746093	0.79385533	0.93345951	3.99461	14.00247
R18	239	Rhizosphere	DNA	FR3	BM	3	4410	214	195	8_sols	8_geno	Yes	2007	0.797435608	-0.290934867	267	4.809962175	0.860882067	0.983551274	195	4.712666879	0.893735497	0.984059039	11.6791	72	3.58105052	0.83734629	0.95342127	3.91418	15.59328
R91	311	Rhizosphere	DNA	FR3	CH	1	16755	406	271	No	8_geno	Yes	1959	-0.191324023	0.067533592	379	4.161536914	0.700886154	0.9140272	271	4.625696652	0.825704845	0.962909283	12.32879	108	2.42547244	0.51802744	0.71882777	5.41155	17.74034
R92	312	Rhizosphere	DNA	FR3	CH	2	9171	280	223	No	8_geno	Yes	1959	-0.063431753	0.008592477	346	4.337857427	0.741965766	0.941891426	223	4.531969551	0.838140481	0.958744563	11.49063	123	2.84572239	0.59135772	0.82316363	6.44158	17.93221
R93	313	Rhizosphere	DNA	FR3	CH	3	5586	230	194	No	8_geno	Yes	1959	0.284149546	0.531471227	298	4.587263881	0.805193717	0.966581142	194	4.557496702	0.865151749	0.973427229	12.17534	104	3.29735522	0.70996505	0.90062191	6.06673	18.24207
R94	314	Rhizosphere	DNA	FR3	CT	1	3278	178	162	No	8_geno	Yes	1949	0.732322698	0.437415618	290	4.76707889	0.840772312	0.976711059	162	4.408854998	0.866588996	0.972161216	10.74378	128	3.77385961	0.77778979	0.93835036	5.35488	16.09866
R96	315	Rhizosphere	DNA	FR3	CT	3	11404	340	250	No	8_geno	Yes	1949	-0.040072092	0.086137582	354	4.395463966	0.748891057	0.932269657	250	4.816959531	0.872406706	0.978240396	11.8549	104	2.69793732	0.58090229	0.77240186	6.11507	17.96997
R97	316	Rhizosphere	DNA	FR3	CY	1	10757	275	209	No	8_geno	Yes	1933	-0.034335194	0.108789138	312	3.910644599	0.680940698	0.889998207	209	4.361665161	0.816434344	0.95631675	10.34657	103	2.18644852	0.47175326	0.63716205	5.84178	16.18835
R98	317	Rhizosphere	DNA	FR3	CY	2	7832	264	206	No	8_geno	Yes	1933	0.072408489	0.124566849	327	4.615141234	0.797093779	0.962253846	206	4.703069059	0.882728673	0.981930362	11.3526	121	3.21892067	0.67119709	0.87800845	5.78893	17.14153
R99	318	Rhizosphere	DNA	FR3	CY	3	11103	366	267	No	8_geno	Yes	1933	-0.077131967	-0.032926101	406	4.84184228	0.806120145	0.966054738	267	4.987762814	0.892704642	0.984587832	13.5456	139	3.39323789	0.6876595	0.88960885	5.97011	19.51571
R13	234	Rhizosphere	DNA	FR3	RB	1	14234	417	292	8_sols	8_geno	Yes	2012	-0.110452523	0.078921828	364	3.986361498	0.675980581	0.872045685	292	4.915541691	0.865907147	0.975683281	14.41946	72	1.83025193	0.42796231	0.55632774	4.4598	18.87926
R14	235	Rhizosphere	DNA	FR3	RB	2	9225	314	249	8_sols	8_geno	Yes	2012	-0.083181036	0.039771591	339	4.343688036	0.745569508	0.929305535	249	4.821420455	0.873848956	0.97644559	12.83241	90	2.59536359	0.57677186	0.76312878	4.99862	17.83103
