ID	Rep	Compartment	Type	Soils	Genotype	Replicat	seq	SVs	Rarefied_Richness	Huit_sols	Huit_geno	Continent	Genotype_Inscription_Year
170	E66c	Endosphere	cDNA	CAM1	AP	3	632	20	19	8_sols	No	Africa	1998
11	E65	Endosphere	DNA	CAM1	AP	2	1546	9	8	8_sols	No	Africa	1998
10	E64	Endosphere	DNA	CAM1	AP	1	97	7	NA	8_sols	No	Africa	1998
12	E66	Endosphere	DNA	CAM1	AP	3	145	10	NA	8_sols	No	Africa	1998
131	R66c	Rhizosphere	cDNA	CAM1	AP	3	7288	233	198	8_sols	No	Africa	1998
130	R65c	Rhizosphere	cDNA	CAM1	AP	2	7506	145	123	8_sols	No	Africa	1998
129	R64c	Rhizosphere	cDNA	CAM1	AP	1	0	0	NA	8_sols	No	Africa	1998
286	R65	Rhizosphere	DNA	CAM1	AP	2	9467	389	299	8_sols	No	Africa	1998
285	R64	Rhizosphere	DNA	CAM1	AP	1	8332	341	281	8_sols	No	Africa	1998
287	R66	Rhizosphere	DNA	CAM1	AP	3	9069	270	220	8_sols	No	Africa	1998
169	E56c	Endosphere	cDNA	CAM2	AP	2	1527	59	49	8_sols	No	Africa	1998
3	E57	Endosphere	DNA	CAM2	AP	3	482	12	12	8_sols	No	Africa	1998
2	E56	Endosphere	DNA	CAM2	AP	2	295	8	8	8_sols	No	Africa	1998
1	E55	Endosphere	DNA	CAM2	AP	1	152	9	NA	8_sols	No	Africa	1998
121	R56c	Rhizosphere	cDNA	CAM2	AP	2	12678	342	263	8_sols	No	Africa	1998
122	R57c	Rhizosphere	cDNA	CAM2	AP	3	9082	161	131	8_sols	No	Africa	1998
120	R55c	Rhizosphere	cDNA	CAM2	AP	1	3540	127	121	8_sols	No	Africa	1998
278	R57	Rhizosphere	DNA	CAM2	AP	3	12181	275	206	8_sols	No	Africa	1998
276	R55	Rhizosphere	DNA	CAM2	AP	1	11795	238	167	8_sols	No	Africa	1998
277	R56	Rhizosphere	DNA	CAM2	AP	2	9966	209	159	8_sols	No	Africa	1998
138	E1c	Endosphere	cDNA	FR1	AP	1	848	30	28	8_sols	No	Europe	1998
331	E1	Endosphere	DNA	FR1	AP	1	43	3	NA	8_sols	No	Europe	1998
332	E2	Endosphere	DNA	FR1	AP	2	155	9	NA	8_sols	No	Europe	1998
333	E3	Endosphere	DNA	FR1	AP	3	63	5	NA	8_sols	No	Europe	1998
68	R3c	Rhizosphere	cDNA	FR1	AP	3	11660	385	274	8_sols	No	Europe	1998
67	R2c	Rhizosphere	cDNA	FR1	AP	2	11176	351	270	8_sols	No	Europe	1998
66	R1c	Rhizosphere	cDNA	FR1	AP	1	7588	306	267	8_sols	No	Europe	1998
222	R1	Rhizosphere	DNA	FR1	AP	1	12748	387	281	8_sols	No	Europe	1998
223	R2	Rhizosphere	DNA	FR1	AP	2	560	36	NA	8_sols	No	Europe	1998
224	R3	Rhizosphere	DNA	FR1	AP	3	641	24	NA	8_sols	No	Europe	1998
144	E12c	Endosphere	cDNA	FR2	AP	3	1108	55	47	8_sols	No	Europe	1998
143	E10c	Endosphere	cDNA	FR2	AP	1	411	18	18	8_sols	No	Europe	1998
340	E10	Endosphere	DNA	FR2	AP	1	173	11	NA	8_sols	No	Europe	1998
341	E11	Endosphere	DNA	FR2	AP	2	55	4	NA	8_sols	No	Europe	1998
342	E12	Endosphere	DNA	FR2	AP	3	120	9	NA	8_sols	No	Europe	1998
75	R10c	Rhizosphere	cDNA	FR2	AP	1	14021	288	197	8_sols	No	Europe	1998
77	R12c	Rhizosphere	cDNA	FR2	AP	3	12783	256	179	8_sols	No	Europe	1998
76	R11c	Rhizosphere	cDNA	FR2	AP	2	2227	70	69	8_sols	No	Europe	1998
233	R12	Rhizosphere	DNA	FR2	AP	3	17733	467	287	8_sols	8_geno	Europe	1998
232	R11	Rhizosphere	DNA	FR2	AP	2	14874	424	283	8_sols	8_geno	Europe	1998
231	R10	Rhizosphere	DNA	FR2	AP	1	13513	373	267	8_sols	8_geno	Europe	1998
152	E20c	Endosphere	cDNA	IT1	AP	2	1449	59	47	8_sols	No	Europe	1998
153	E21c	Endosphere	cDNA	IT1	AP	3	1520	51	45	8_sols	No	Europe	1998
151	E19c	Endosphere	cDNA	IT1	AP	1	1202	49	43	8_sols	No	Europe	1998
